year,territory,lambs,rams,ewes,lamb_sheep_shorn,sheep_flock,sheep_purchased,cats_occurrence_total,cats_2013_forest,cats_2013_non_forest,cats_2018_forest,cats_2018_non_forest,eco_cost_total,eco_cost_cat_only,eco_cost_cat_plus_other,eco_sector_agriculture,eco_sector_authorities_stakeholders,eco_sector_environment,eco_sector_health,eco_type_control,eco_type_control_education,eco_type_control_medical_care,eco_type_control_prevention,eco_type_damage_loss,eco_type_eradication,eco_type_prevention
2012,Western Australia,1541.0,103.0,3460.0,6000.0,5703.0,214.0,,,,,,,,,,,,,,,,,,,
2013,All Australia,9826.0,451.0,19126.0,32534.0,33291.0,1408.0,1612.0,1242.0,370.0,1227.0,385.0,28737621.661178708,28737621.661178708,0.0,0.0,28737621.661178708,0.0,0.0,29461.8572448073,0.0,0.0,0.0,0.0,28708159.8039339,0.0
2013,New South Wales,2918.0,122.0,5576.0,8843.0,9639.0,324.0,1086.0,967.0,119.0,904.0,182.0,,,,,,,,,,,,,,
2013,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,148.0,10.0,138.0,42.0,106.0,,,,,,,,,,,,,,
2013,Queensland,752.0,31.0,1583.0,3196.0,3281.0,250.0,39.0,29.0,10.0,33.0,6.0,,,,,,,,,,,,,,
2013,South Australia,2461.0,123.0,4677.0,7997.0,7883.0,266.0,58.0,2.0,56.0,1.0,57.0,,,,,,,,,,,,,,
2013,Tasmania,595.0,23.0,1075.0,2132.0,2006.0,48.0,,,,,,,,,,,,,,,,,,,
2013,Unspecified,,,,,,,,,,,,28737621.661178708,28737621.661178708,0.0,0.0,28737621.661178708,0.0,0.0,29461.8572448073,0.0,0.0,0.0,0.0,28708159.8039339,0.0
2013,Victoria,1392.0,52.0,2533.0,4220.0,4423.0,290.0,276.0,234.0,42.0,247.0,29.0,,,,,,,,,,,,,,
2013,Western Australia,1708.0,100.0,3682.0,6146.0,6059.0,230.0,5.0,0.0,5.0,0.0,5.0,,,,,,,,,,,,,,
2014,All Australia,9179.0,488.0,19982.0,33942.0,33003.0,1838.0,1870.0,1435.0,435.0,1639.0,231.0,1215364.171949191,0.0,1215364.171949191,0.0,1215364.171949191,0.0,0.0,2022.930946111,0.0,0.0,0.0,0.0,0.0,1213341.24100308
2014,New South Wales,2690.0,129.0,6226.0,10419.0,9722.0,521.0,1335.0,1169.0,166.0,1236.0,99.0,,,,,,,,,,,,,,
2014,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,247.0,86.0,161.0,196.0,51.0,,,,,,,,,,,,,,
2014,Queensland,420.0,33.0,1443.0,2668.0,2801.0,144.0,56.0,38.0,18.0,38.0,18.0,,,,,,,,,,,,,,
2014,South Australia,2434.0,127.0,4778.0,8101.0,7890.0,351.0,82.0,40.0,42.0,52.0,30.0,,,,,,,,,,,,,,
2014,Tasmania,573.0,24.0,1128.0,2140.0,2067.0,47.0,,,,,,,,,,,,,,,,,,,
2014,Unspecified,,,,,,,,,,,,1215364.171949191,0.0,1215364.171949191,0.0,1215364.171949191,0.0,0.0,2022.930946111,0.0,0.0,0.0,0.0,0.0,1213341.24100308
2014,Victoria,1296.0,51.0,2259.0,3928.0,3948.0,384.0,140.0,102.0,38.0,117.0,23.0,,,,,,,,,,,,,,
2014,Western Australia,1766.0,124.0,4148.0,6686.0,6575.0,391.0,10.0,0.0,10.0,0.0,10.0,,,,,,,,,,,,,,
2015,All Australia,10481.0,521.0,20728.0,35798.0,34849.0,1603.0,1073.0,545.0,528.0,690.0,383.0,,,,,,,,,,,,,,
2015,New South Wales,3195.0,144.0,6349.0,10453.0,10377.0,481.0,347.0,236.0,111.0,244.0,103.0,,,,,,,,,,,,,,
2015,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,349.0,100.0,249.0,208.0,141.0,,,,,,,,,,,,,,
2015,Queensland,508.0,26.0,1275.0,1952.0,2482.0,208.0,35.0,21.0,14.0,23.0,12.0,,,,,,,,,,,,,,
2015,South Australia,3177.0,152.0,5774.0,10526.0,9726.0,339.0,113.0,24.0,89.0,44.0,69.0,,,,,,,,,,,,,,
2015,Tasmania,562.0,23.0,1202.0,2244.0,2048.0,64.0,3.0,0.0,3.0,0.0,3.0,,,,,,,,,,,,,,
2015,Victoria,1292.0,53.0,2343.0,4026.0,3955.0,322.0,211.0,161.0,50.0,168.0,43.0,,,,,,,,,,,,,,
2015,Western Australia,1747.0,123.0,3785.0,6597.0,6261.0,189.0,7.0,0.0,7.0,1.0,6.0,,,,,,,,,,,,,,
2016,All Australia,11261.0,498.0,22009.0,35511.0,36608.0,2044.0,1406.0,866.0,540.0,915.0,491.0,728925.9676424484,633265.3954966019,95660.5721458464,0.0,633265.3954966019,95660.5721458464,0.0,95660.5721458464,0.0,0.0,0.0,0.0,633265.3954966019,0.0
2016,New South Wales,3203.0,147.0,7030.0,11365.0,11109.0,752.0,632.0,402.0,230.0,388.0,244.0,,,,,,,,,,,,,,
2016,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,59.0,22.0,37.0,47.0,12.0,,,,,,,,,,,,,,
2016,Queensland,339.0,24.0,1275.0,1830.0,2175.0,66.0,68.0,49.0,19.0,49.0,19.0,,,,,,,,,,,,,,
2016,South Australia,3057.0,112.0,4898.0,8560.0,8589.0,440.0,268.0,45.0,223.0,83.0,185.0,95660.5721458464,0.0,95660.5721458464,0.0,0.0,95660.5721458464,0.0,95660.5721458464,0.0,0.0,0.0,0.0,0.0,0.0
