Date,Series,Value
2017-06-28,Total Monitored Articles,617148
2017-06-29,Article Count,9
2017-06-29,Total Monitored Articles,564835
2017-06-30,Article Count,14
2017-06-30,Total Monitored Articles,585683
2017-07-01,Article Count,0
2017-07-01,Total Monitored Articles,396436
2017-07-02,Article Count,3
2017-07-02,Total Monitored Articles,371913
2017-07-03,Article Count,0
2017-07-03,Total Monitored Articles,556226
2017-07-04,Article Count,1
2017-07-04,Total Monitored Articles,540275
2017-07-05,Article Count,5
2017-07-05,Total Monitored Articles,528369
2017-07-06,Article Count,2
2017-07-06,Total Monitored Articles,595517
2017-07-07,Article Count,2
2017-07-07,Total Monitored Articles,566311
2017-07-08,Article Count,0
2017-07-08,Total Monitored Articles,403913
2017-07-09,Article Count,2
2017-07-09,Total Monitored Articles,376723
2017-07-10,Article Count,3
2017-07-10,Total Monitored Articles,552863
2017-07-11,Article Count,0
2017-07-11,Total Monitored Articles,610662
2017-07-12,Article Count,5
2017-07-12,Total Monitored Articles,628745
2017-07-13,Article Count,1
2017-07-13,Total Monitored Articles,582384
2017-07-14,Article Count,1
2017-07-14,Total Monitored Articles,559190
2017-07-15,Article Count,4
2017-07-15,Total Monitored Articles,375192
2017-07-16,Article Count,0
2017-07-16,Total Monitored Articles,341556
2017-07-17,Article Count,0
2017-07-17,Total Monitored Articles,559265
2017-07-18,Article Count,0
2017-07-18,Total Monitored Articles,580912
2017-07-19,Article Count,1
2017-07-19,Total Monitored Articles,630581
2017-07-20,Article Count,4
2017-07-20,Total Monitored Articles,584050
2017-07-21,Article Count,1
2017-07-21,Total Monitored Articles,553851
2017-07-22,Article Count,0
2017-07-22,Total Monitored Articles,402609
2017-07-23,Article Count,2
2017-07-23,Total Monitored Articles,355763
2017-07-24,Article Count,2
2017-07-24,Total Monitored Articles,591647
2017-07-25,Article Count,1
2017-07-25,Total Monitored Articles,649693
2017-07-26,Article Count,0
2017-07-26,Total Monitored Articles,607441
2017-07-27,Article Count,0
2017-07-27,Total Monitored Articles,622922
2017-07-28,Article Count,7
2017-07-28,Total Monitored Articles,607879
2017-07-29,Article Count,0
2017-07-29,Total Monitored Articles,438089
2017-07-30,Article Count,2
2017-07-30,Total Monitored Articles,399877
2017-07-31,Article Count,5
2017-07-31,Total Monitored Articles,630566
2017-08-01,Article Count,4
2017-08-01,Total Monitored Articles,645817
2017-08-02,Article Count,1
2017-08-02,Total Monitored Articles,690524
2017-08-03,Article Count,5
2017-08-03,Total Monitored Articles,638560
2017-08-04,Article Count,4
2017-08-04,Total Monitored Articles,635373
2017-08-05,Article Count,0
2017-08-05,Total Monitored Articles,397022
2017-08-06,Article Count,0
2017-08-06,Total Monitored Articles,361365
2017-08-07,Article Count,1
2017-08-07,Total Monitored Articles,616868
2017-08-08,Article Count,2
2017-08-08,Total Monitored Articles,644359
2017-08-09,Article Count,1
2017-08-09,Total Monitored Articles,649714
2017-08-10,Article Count,1
2017-08-10,Total Monitored Articles,577925
2017-08-11,Article Count,14
2017-08-11,Total Monitored Articles,577369
2017-08-12,Article Count,0
2017-08-12,Total Monitored Articles,407685
2017-08-13,Article Count,0
2017-08-13,Total Monitored Articles,361785
2017-08-14,Article Count,1
2017-08-14,Total Monitored Articles,560000
2017-08-15,Article Count,2
2017-08-15,Total Monitored Articles,640227
2017-08-16,Article Count,4
2017-08-16,Total Monitored Articles,639190
2017-08-17,Article Count,4
2017-08-17,Total Monitored Articles,658802
