Date,Series,Value
2017-12-30,Average Tone,0
2017-12-31,Average Tone,0
2018-01-01,Average Tone,0
2018-01-02,Average Tone,0
2018-01-03,Average Tone,-0.8127
2018-01-04,Average Tone,0
2018-01-05,Average Tone,-2.496
2018-01-06,Average Tone,-0.7165
2018-01-07,Average Tone,-1.2821
2018-01-08,Average Tone,-1.3602
2018-01-09,Average Tone,0
2018-01-10,Average Tone,0
2018-01-11,Average Tone,0
2018-01-12,Average Tone,0
2018-01-13,Average Tone,0
2018-01-14,Average Tone,0
2018-01-15,Average Tone,0
2018-01-16,Average Tone,0
2018-01-17,Average Tone,0
2018-01-18,Average Tone,-2.9362
2018-01-19,Average Tone,-3.1818
2018-01-20,Average Tone,-3.0303
2018-01-21,Average Tone,0
2018-01-22,Average Tone,-2.4799
2018-01-23,Average Tone,0
2018-01-24,Average Tone,1.2422
2018-01-25,Average Tone,0
2018-01-26,Average Tone,0
2018-01-27,Average Tone,0
2018-01-28,Average Tone,0
2018-01-29,Average Tone,0
2018-01-30,Average Tone,0
2018-01-31,Average Tone,-1.5613
2018-02-01,Average Tone,-1.2702
2018-02-02,Average Tone,0
2018-02-03,Average Tone,-1.2318
2018-02-04,Average Tone,0
2018-02-05,Average Tone,0
2018-02-06,Average Tone,-3.3489
2018-02-07,Average Tone,-0.2077
2018-02-08,Average Tone,0
2018-02-09,Average Tone,0
2018-02-10,Average Tone,0
2018-02-11,Average Tone,-2.3438
2018-02-12,Average Tone,0
2018-02-13,Average Tone,-0.7273
2018-02-14,Average Tone,0
2018-02-15,Average Tone,-0.7273
2018-02-16,Average Tone,0
2018-02-17,Average Tone,0
2018-02-18,Average Tone,0
2018-02-19,Average Tone,0
2018-02-20,Average Tone,0
2018-02-21,Average Tone,0
2018-02-22,Average Tone,0
2018-02-23,Average Tone,0
2018-02-24,Average Tone,0
2018-02-25,Average Tone,0
2018-02-26,Average Tone,-1.0944
2018-02-27,Average Tone,0
2018-02-28,Average Tone,0
2018-03-01,Average Tone,0
2018-03-02,Average Tone,-1.4682
2018-03-03,Average Tone,0
2018-03-04,Average Tone,0
2018-03-05,Average Tone,0
2018-03-06,Average Tone,0
2018-03-07,Average Tone,0
2018-03-08,Average Tone,-3.0952
2018-03-09,Average Tone,0
2018-03-10,Average Tone,0
2018-03-11,Average Tone,0
2018-03-12,Average Tone,-3.7999
2018-03-13,Average Tone,-7.1727
2018-03-14,Average Tone,0
2018-03-15,Average Tone,-2.1132
2018-03-16,Average Tone,0
2018-03-17,Average Tone,0
2018-03-18,Average Tone,-0.7612
2018-03-19,Average Tone,0
2018-03-20,Average Tone,0
2018-03-21,Average Tone,-0.2705
2018-03-22,Average Tone,0
2018-03-23,Average Tone,1.613
2018-03-24,Average Tone,0
2018-03-25,Average Tone,0
2018-03-26,Average Tone,0
2018-03-27,Average Tone,-2.5761
2018-03-28,Average Tone,0
2018-03-29,Average Tone,-2.4599
2018-03-30,Average Tone,0
2018-03-31,Average Tone,4.5783
2018-04-01,Average Tone,2.71
2018-04-02,Average Tone,0
2018-04-03,Average Tone,0
2018-04-04,Average Tone,0
2018-04-05,Average Tone,-2.6515
2018-04-06,Average Tone,1.1679
2018-04-07,Average Tone,0
2018-04-08,Average Tone,0
2018-04-09,Average Tone,0
2018-04-10,Average Tone,-2.5057
2018-04-11,Average Tone,0
2018-04-12,Average Tone,0
2018-04-13,Average Tone,1.0189
2018-04-14,Average Tone,0
2018-04-15,Average Tone,0
2018-04-16,Average Tone,0
2018-04-17,Average Tone,0
2018-04-18,Average Tone,0
2018-04-19,Average Tone,-3.0369
2018-04-20,Average Tone,0
2018-04-21,Average Tone,0.9025
2018-04-22,Average Tone,0
2018-04-23,Average Tone,0.6944
2018-04-24,Average Tone,0
2018-04-25,Average Tone,-1.3115
2018-04-26,Average Tone,0.6944
2018-04-27,Average Tone,0.6944
2018-04-28,Average Tone,-1.3405
2018-04-29,Average Tone,0
2018-04-30,Average Tone,-1.4053
2018-05-01,Average Tone,0
2018-05-02,Average Tone,-3.7736
2018-05-03,Average Tone,0.0923
2018-05-04,Average Tone,-0.7402
2018-05-05,Average Tone,0.3759
2018-05-06,Average Tone,-4.2005
2018-05-07,Average Tone,0.3831
2018-05-08,Average Tone,0
2018-05-09,Average Tone,0
2018-05-10,Average Tone,-3.6739
2018-05-11,Average Tone,0
2018-05-12,Average Tone,0
2018-05-13,Average Tone,-3.6739
2018-05-14,Average Tone,-4.6875
2018-05-15,Average Tone,0
2018-05-16,Average Tone,0
2018-05-17,Average Tone,-2.1651
2018-05-18,Average Tone,-0.2993
2018-05-19,Average Tone,0
2018-05-20,Average Tone,-5.3297
2018-05-21,Average Tone,-4.2271
2018-05-22,Average Tone,5.0584
2018-05-23,Average Tone,-1.0381
2018-05-24,Average Tone,-0.439
