year,state,lambs,rams,ewes,lamb_sheep_shorn,sheep_flock,sheep_purchased,cats_occurrence_total,cats_2013_forest,cats_2013_non_forest,cats_2018_forest,cats_2018_non_forest
2001,South Australia,2512.0,112.0,112.0,7883.0,8270.0,600.0,16.0,6.0,10.0,8.0,8.0
2001,Tasmania,359.0,23.0,23.0,2098.0,1964.0,110.0,,,,,
2001,Victoria,1567.0,66.0,66.0,5217.0,5094.0,711.0,40.0,20.0,20.0,19.0,21.0
2001,Western Australia,2479.0,203.0,203.0,15747.0,12836.0,588.0,,,,,
2002,New South Wales,2624.0,131.0,131.0,11360.0,10544.0,770.0,104.0,46.0,58.0,55.0,49.0
2002,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,32.0,5.0,29.0
2002,Queensland,1421.0,103.0,103.0,11123.0,9707.0,584.0,24.0,17.0,7.0,21.0,3.0
2002,South Australia,2148.0,137.0,137.0,8857.0,8938.0,692.0,18.0,4.0,14.0,6.0,12.0
2002,Tasmania,548.0,28.0,28.0,2431.0,2431.0,139.0,,,,,
2002,Victoria,1602.0,86.0,86.0,5518.0,5072.0,687.0,17.0,8.0,9.0,7.0,10.0
2002,Western Australia,2315.0,177.0,177.0,12594.0,11169.0,428.0,,,,,
2003,New South Wales,,,,10498.0,8903.0,764.0,143.0,68.0,75.0,74.0,69.0
2003,Northern Territory,,,,0.0,0.0,0.0,8.0,4.0,4.0,6.0,2.0
2003,Queensland,,,,12477.0,10214.0,313.0,23.0,18.0,5.0,19.0,4.0
2003,South Australia,,,,8674.0,8227.0,535.0,27.0,5.0,22.0,7.0,20.0
2003,Tasmania,,,,2333.0,2002.0,66.0,20.0,0.0,20.0,0.0,20.0
2003,Victoria,,,,4527.0,4207.0,463.0,70.0,26.0,44.0,24.0,46.0
2003,Western Australia,,,,9055.0,9943.0,955.0,,,,,
2004,New South Wales,,,,9242.0,9596.0,609.0,141.0,81.0,60.0,80.0,61.0
2004,Northern Territory,,,,0.0,0.0,0.0,11.0,0.0,11.0,2.0,9.0
2004,Queensland,,,,12745.0,11871.0,551.0,16.0,10.0,6.0,9.0,7.0
2004,South Australia,,,,8976.0,8462.0,479.0,48.0,8.0,40.0,14.0,34.0
2004,Tasmania,,,,2112.0,1879.0,66.0,,,,,
2004,Victoria,,,,4232.0,4158.0,579.0,48.0,17.0,31.0,23.0,25.0
2004,Western Australia,,,,11210.0,10948.0,889.0,2.0,0.0,2.0,0.0,2.0
2005,New South Wales,2403.0,114.0,114.0,10916.0,10041.0,717.0,99.0,55.0,44.0,56.0,43.0
2005,Northern Territory,0.0,0.0,0.0,0.0,24.0,0.0,16.0,3.0,13.0,3.0,13.0
2005,Queensland,1470.0,73.0,73.0,8015.0,7399.0,548.0,6.0,4.0,2.0,4.0,2.0
2005,South Australia,1975.0,168.0,168.0,9072.0,8351.0,445.0,141.0,46.0,95.0,56.0,85.0
2005,Tasmania,552.0,34.0,34.0,2578.0,2333.0,58.0,,,,,
2005,Victoria,1446.0,78.0,78.0,5140.0,4977.0,547.0,59.0,29.0,30.0,30.0,29.0
2005,Western Australia,2756.0,196.0,196.0,12084.0,11968.0,594.0,,,,,
2006,New South Wales,2304.0,102.0,102.0,9766.0,9473.0,1232.0,80.0,50.0,30.0,49.0,31.0
2006,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,16.0
2006,Queensland,1350.0,86.0,86.0,7238.0,6764.0,231.0,8.0,5.0,3.0,4.0,4.0
2006,South Australia,1931.0,129.0,129.0,8533.0,8102.0,588.0,65.0,11.0,54.0,11.0,54.0
2006,Tasmania,478.0,23.0,23.0,2396.0,2156.0,121.0,,,,,
2006,Victoria,1449.0,48.0,48.0,4762.0,4691.0,583.0,70.0,49.0,21.0,48.0,22.0
2006,Western Australia,3321.0,168.0,168.0,10758.0,10244.0,1492.0,,,,,
2007,New South Wales,2476.0,110.0,110.0,10074.0,9484.0,932.0,107.0,57.0,50.0,56.0,51.0
2007,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,3.0,5.0
2007,Queensland,1130.0,81.0,81.0,6087.0,4940.0,231.0,15.0,11.0,4.0,11.0,4.0
2007,South Australia,2593.0,132.0,132.0,9259.0,8709.0,609.0,222.0,21.0,201.0,22.0,200.0
2007,Tasmania,542.0,24.0,24.0,2832.0,1980.0,83.0,,,,,
2007,Victoria,1237.0,62.0,62.0,4557.0,4142.0,677.0,88.0,63.0,25.0,64.0,24.0
2007,Western Australia,2251.0,191.0,191.0,12949.0,10509.0,596.0,,,,,
2008,Australian Capital Territory,,,,,,,1.0,0.0,1.0,0.0,1.0
2008,New South Wales,2459.0,115.0,115.0,9457.0,9142.0,543.0,72.0,46.0,26.0,49.0,23.0
2008,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,9.0,1.0,10.0
2008,Queensland,1060.0,96.0,96.0,4981.0,5210.0,261.0,15.0,10.0,5.0,8.0,7.0
2008,South Australia,2343.0,108.0,108.0,8631.0,8158.0,418.0,63.0,6.0,57.0,7.0,56.0
2008,Tasmania,414.0,27.0,27.0,1983.0,1665.0,99.0,,,,,
2008,Victoria,1269.0,55.0,55.0,4442.0,4237.0,458.0,107.0,91.0,16.0,94.0,13.0
2008,Western Australia,1934.0,139.0,139.0,7922.0,7965.0,526.0,4.0,0.0,4.0,0.0,4.0
2009,New South Wales,2100.0,105.0,105.0,8402.0,8118.0,532.0,152.0,86.0,66.0,85.0,67.0
2009,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,7.0,3.0,6.0
2009,Queensland,1020.0,82.0,82.0,5046.0,5197.0,112.0,44.0,15.0,29.0,13.0,31.0
2009,South Australia,2376.0,105.0,105.0,8270.0,7459.0,469.0,196.0,18.0,178.0,20.0,176.0
2009,Tasmania,368.0,23.0,23.0,1749.0,1485.0,71.0,,,,,
2009,Victoria,1077.0,43.0,43.0,3850.0,3661.0,383.0,51.0,30.0,21.0,35.0,16.0
2009,Western Australia,1568.0,178.0,178.0,9275.0,7744.0,545.0,,,,,
2010,New South Wales,2167.0,112.0,112.0,8409.0,8575.0,655.0,104.0,68.0,36.0,66.0,38.0
2010,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,17.0,5.0,14.0
2010,Queensland,930.0,99.0,99.0,4288.0,4528.0,83.0,27.0,14.0,13.0,15.0,12.0
2010,South Australia,2028.0,121.0,121.0,7546.0,7336.0,429.0,75.0,5.0,70.0,8.0,67.0
2010,Tasmania,448.0,21.0,21.0,1749.0,1683.0,40.0,,,,,
2010,Victoria,1094.0,46.0,46.0,3264.0,3357.0,401.0,59.0,23.0,36.0,27.0,32.0
2010,Western Australia,1627.0,112.0,112.0,6260.0,6147.0,334.0,,,,,
2011,New South Wales,2890.0,119.0,119.0,8751.0,9591.0,457.0,104.0,47.0,57.0,51.0,53.0
2011,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,12.0,1.0,12.0
2011,Queensland,1204.0,75.0,75.0,3829.0,4558.0,77.0,78.0,51.0,27.0,57.0,21.0
2011,South Australia,2707.0,124.0,124.0,8965.0,8859.0,521.0,354.0,45.0,309.0,30.0,324.0
2011,Tasmania,517.0,23.0,23.0,1973.0,1860.0,70.0,1.0,0.0,1.0,0.0,1.0
2011,Victoria,1444.0,42.0,42.0,3993.0,4293.0,419.0,205.0,163.0,42.0,172.0,33.0
2011,Western Australia,1560.0,93.0,93.0,5775.0,5458.0,191.0,,,,,
2012,New South Wales,2986.0,115.0,115.0,8810.0,9976.0,409.0,619.0,505.0,114.0,530.0,89.0
2012,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,2.0,26.0
2012,Queensland,800.0,44.0,44.0,3731.0,4102.0,33.0,54.0,36.0,18.0,34.0,20.0
2012,South Australia,2202.0,106.0,106.0,8522.0,8128.0,489.0,122.0,8.0,114.0,6.0,116.0
2012,Tasmania,587.0,25.0,25.0,2013.0,2072.0,58.0,,,,,
2012,Victoria,1345.0,42.0,42.0,3898.0,4154.0,365.0,159.0,126.0,33.0,132.0,27.0
2012,Western Australia,1541.0,103.0,103.0,6000.0,5703.0,214.0,,,,,
2013,New South Wales,2918.0,122.0,122.0,8843.0,9639.0,324.0,1086.0,967.0,119.0,904.0,182.0
2013,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,148.0,10.0,138.0,42.0,106.0
2013,Queensland,752.0,31.0,31.0,3196.0,3281.0,250.0,39.0,29.0,10.0,33.0,6.0
2013,South Australia,2461.0,123.0,123.0,7997.0,7883.0,266.0,58.0,2.0,56.0,1.0,57.0
2013,Tasmania,595.0,23.0,23.0,2132.0,2006.0,48.0,,,,,
2013,Victoria,1392.0,52.0,52.0,4220.0,4423.0,290.0,276.0,234.0,42.0,247.0,29.0
2013,Western Australia,1708.0,100.0,100.0,6146.0,6059.0,230.0,5.0,0.0,5.0,0.0,5.0
2014,New South Wales,2690.0,129.0,129.0,10419.0,9722.0,521.0,1335.0,1169.0,166.0,1236.0,99.0
2014,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,247.0,86.0,161.0,196.0,51.0
2014,Queensland,420.0,33.0,33.0,2668.0,2801.0,144.0,56.0,38.0,18.0,38.0,18.0
2014,South Australia,2434.0,127.0,127.0,8101.0,7890.0,351.0,82.0,40.0,42.0,52.0,30.0
2014,Tasmania,573.0,24.0,24.0,2140.0,2067.0,47.0,,,,,
2014,Victoria,1296.0,51.0,51.0,3928.0,3948.0,384.0,140.0,102.0,38.0,117.0,23.0
2014,Western Australia,1766.0,124.0,124.0,6686.0,6575.0,391.0,10.0,0.0,10.0,0.0,10.0
2015,Australian Capital Territory,,,,,,,8.0,3.0,5.0,2.0,6.0
2015,New South Wales,3195.0,144.0,144.0,10453.0,10377.0,481.0,347.0,236.0,111.0,244.0,103.0
2015,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,349.0,100.0,249.0,208.0,141.0
2015,Queensland,508.0,26.0,26.0,1952.0,2482.0,208.0,35.0,21.0,14.0,23.0,12.0
2015,South Australia,3177.0,152.0,152.0,10526.0,9726.0,339.0,113.0,24.0,89.0,44.0,69.0
2015,Tasmania,562.0,23.0,23.0,2244.0,2048.0,64.0,3.0,0.0,3.0,0.0,3.0
2015,Victoria,1292.0,53.0,53.0,4026.0,3955.0,322.0,211.0,161.0,50.0,168.0,43.0
2015,Western Australia,1747.0,123.0,123.0,6597.0,6261.0,189.0,7.0,0.0,7.0,1.0,6.0
2016,Australian Capital Territory,,,,,,,2.0,1.0,1.0,0.0,2.0
2016,New South Wales,3203.0,147.0,147.0,11365.0,11109.0,752.0,632.0,402.0,230.0,388.0,244.0
2016,Northern Territory,0.0,0.0,0.0,0.0,0.0,0.0,59.0,22.0,37.0,47.0,12.0
2016,Queensland,339.0,24.0,24.0,1830.0,2175.0,66.0,68.0,49.0,19.0,49.0,19.0
